,random_face_number,image_name,face_tensor,auto_gender
145,145,posts\marcus.knuth\pic_7.jpeg,"tensor([282.7030,  99.9028, 488.3181, 383.8069])",Man
146,146,posts\marcus.knuth\pic_7.jpeg,"tensor([184.0115, 211.9102, 305.8112, 375.3307])",Woman
147,147,posts\soren_pape\pic_95.jpeg,"tensor([173.1322,  25.8732, 423.1397, 350.1557])",Man
148,148,posts\birgitte.vind\pic_28.jpeg,"tensor([244.5332, 255.8381, 283.1095, 302.6963])",Woman
149,149,posts\birgitte.vind\pic_28.jpeg,"tensor([ 95.7814, 286.8193, 134.3246, 336.9770])",Woman
150,150,posts\birgitte.vind\pic_28.jpeg,"tensor([496.3074, 264.5771, 541.3588, 319.8514])",Woman
151,151,posts\birgitte.vind\pic_28.jpeg,"tensor([338.7785, 272.5126, 380.5801, 321.1215])",Woman
152,152,posts\christoffermelson\pic_54.jpeg,"tensor([ 94.2621, 283.4585, 159.2953, 367.7435])",Man
153,153,posts\pernille_skipper\pic_20.jpeg,"tensor([ 75.4456,  63.9952, 271.2675, 316.6705])",Woman
154,154,posts\sophieloehde\pic_47.jpeg,"tensor([138.5834, 130.7181, 345.6292, 391.5450])",Woman
155,155,posts\aaja_chemnitz\pic_11.jpeg,"tensor([281.7864, 433.9250, 300.3643, 455.7569])",Woman
156,156,posts\martinr.geertsen\pic_0.jpeg,"tensor([198.7360, 230.3067, 263.2882, 314.8337])",Woman
157,157,posts\martinr.geertsen\pic_0.jpeg,"tensor([323.9136, 187.2640, 386.2665, 273.1042])",Woman
158,158,posts\martinr.geertsen\pic_0.jpeg,"tensor([395.4586, 290.2487, 473.0192, 389.1905])",Woman
159,159,posts\sophieloehde\pic_21.jpeg,"tensor([273.6197,  81.2480, 357.0533, 194.5921])",Man
160,160,posts\pernille_skipper\pic_58.jpeg,"tensor([ 90.5334, 119.6622, 153.3786, 202.6629])",Woman
161,161,posts\pernille_skipper\pic_58.jpeg,"tensor([330.9307, 103.5501, 401.7351, 192.6217])",Woman
162,162,posts\rasmushelvegpetersen\pic_25.jpeg,"tensor([299.5953, 141.4077, 432.6875, 318.3651])",Man
163,163,posts\rasmushelvegpetersen\pic_25.jpeg,"tensor([  1.6529, 172.0289, 116.8876, 390.0049])",Man
164,164,posts\simonkollerup\pic_36.jpeg,"tensor([416.1707, 144.3673, 537.8118, 310.9323])",Man
165,165,posts\traktortroels\pic_32.jpeg,"tensor([344.5576, 172.7998, 397.3204, 236.2004])",Man
166,166,posts\traktortroels\pic_32.jpeg,"tensor([228.3890, 157.0990, 287.3530, 230.1792])",Man
167,167,posts\troelsravn1\pic_13.jpeg,"tensor([438.2022, 238.6525, 470.0194, 276.4717])",Man
168,168,posts\troelsravn1\pic_13.jpeg,"tensor([312.3868, 234.3066, 339.3248, 266.4784])",Man
169,169,posts\troelsravn1\pic_13.jpeg,"tensor([197.2046, 327.7899, 231.5982, 373.3818])",Man
170,170,posts\troelsravn1\pic_13.jpeg,"tensor([372.2913, 251.7092, 400.2755, 286.0482])",Woman
171,171,posts\troelsravn1\pic_13.jpeg,"tensor([254.9675, 264.5352, 284.5670, 300.1831])",Woman
172,172,posts\troelsravn1\pic_13.jpeg,"tensor([431.1061, 350.6912, 468.5540, 397.0941])",Man
173,173,posts\troelsravn1\pic_13.jpeg,"tensor([182.5740, 246.7542, 208.3724, 278.9090])",Man
174,174,posts\troelsravn1\pic_13.jpeg,"tensor([305.4195, 379.4662, 342.8889, 425.2598])",Man
175,175,posts\pernillevermund\pic_5.jpeg,"tensor([ 48.1496,  62.7956, 170.2321, 234.7250])",Woman
176,176,posts\jacobjensen_venstre\pic_9.jpeg,"tensor([ 95.6213,   6.9969, 270.2674, 196.5331])",Man
177,177,posts\alexvanopslagh\pic_13.jpeg,"tensor([191.9585, 102.5528, 393.4461, 368.9672])",Man
178,178,posts\torsten.gejl\pic_2.jpeg,"tensor([110.1261, 203.9787, 187.5522, 296.3617])",Woman
179,179,posts\torsten.gejl\pic_2.jpeg,"tensor([ 13.3338, 278.2438,  36.8112, 306.5015])",Man
180,180,posts\jakobellemann\pic_101.jpeg,"tensor([218.5348, 105.1153, 423.9539, 400.6889])",Man
181,181,posts\alexvanopslagh\pic_27.jpeg,"tensor([181.6913, 288.5742, 303.1830, 449.5313])",Woman
182,182,posts\stojberginger\pic_33.jpeg,"tensor([548.0254, 158.7126, 606.3705, 229.2053])",Woman
183,183,posts\stojberginger\pic_33.jpeg,"tensor([ 49.1460, 250.9996, 101.6810, 325.1122])",Man
184,184,posts\stojberginger\pic_33.jpeg,"tensor([323.4280, 132.2986, 351.1183, 172.5932])",Woman
185,185,posts\brittbager\pic_9.jpeg,"tensor([245.4881,  82.5198, 326.4268, 190.3572])",Woman
186,186,posts\karina_lorentzen_dehnhardt\pic_152.jpeg,"tensor([202.9054, 250.1850, 399.9219, 490.9017])",Woman
187,187,posts\kristianthulesendahl\pic_19.jpeg,"tensor([ 51.7484, 236.7543,  85.4241, 281.6653])",Man
188,188,posts\dennisflydtkjaer1\pic_15.jpeg,"tensor([252.9412, 284.4679, 416.7243, 511.6440])",Woman
189,189,posts\khoenge\pic_52.jpeg,"tensor([ 14.7540, 165.0932, 158.2744, 342.2366])",Man
190,190,posts\mettedencker\pic_77.jpeg,"tensor([298.5118, 206.5070, 565.5822, 540.4890])",Man
191,191,posts\mettedencker\pic_77.jpeg,"tensor([ 80.2771, 138.7034, 288.6857, 384.9485])",Woman
192,192,posts\mattiastesfaye\pic_3.jpeg,"tensor([221.7242, 101.8665, 399.0953, 330.8508])",Woman
193,193,posts\bbbrandenborg\pic_19.jpeg,"tensor([338.1836,  86.6879, 450.5963, 235.9209])",Man
194,194,posts\bbbrandenborg\pic_19.jpeg,"tensor([ 47.0609, 174.3153, 188.0952, 362.0348])",Man
195,195,posts\annevalentinaberthelsen\pic_17.jpeg,"tensor([ 97.5025, 286.3848, 318.6334, 581.0752])",Woman
196,196,posts\karina_lorentzen_dehnhardt\pic_35.jpeg,"tensor([457.9065, 196.3902, 529.8975, 282.4537])",Woman
197,197,posts\karina_lorentzen_dehnhardt\pic_35.jpeg,"tensor([132.0320, 304.4363, 209.7743, 403.3021])",Woman
198,198,posts\brittbager\pic_7.jpeg,"tensor([173.8257, 246.9755, 232.5998, 315.1052])",Woman
199,199,posts\brittbager\pic_7.jpeg,"tensor([275.0281, 282.9045, 321.3897, 338.5788])",Man
200,200,posts\brittbager\pic_7.jpeg,"tensor([379.5544, 257.3996, 426.3681, 314.6212])",Man
201,201,posts\nikolajvillumsen\pic_0.jpeg,"tensor([187.3951, 136.1255, 439.0435, 476.3741])",Man
202,202,posts\kirstennormann\pic_3.jpeg,"tensor([371.7906, 311.7126, 580.5579, 602.8712])",Woman
203,203,posts\zenia.stampe\pic_83.jpeg,"tensor([185.9081,  91.2100, 240.3268, 162.4044])",Man
204,204,posts\zenia.stampe\pic_83.jpeg,"tensor([456.2391, 129.3613, 512.0008, 202.1666])",Woman
205,205,posts\zenia.stampe\pic_83.jpeg,"tensor([ 75.1892, 167.5232, 146.6109, 260.1357])",Woman
206,206,posts\zenia.stampe\pic_83.jpeg,"tensor([517.0327, 121.9381, 589.0660, 218.5472])",Woman
207,207,posts\brittbager\pic_3.jpeg,"tensor([335.0240, 104.5576, 417.7647, 208.3720])",Woman
208,208,posts\victoria.r.velasquez\pic_2.jpeg,"tensor([220.3688, 119.7123, 386.2671, 347.5054])",Woman
209,209,posts\martinr.geertsen\pic_5.jpeg,"tensor([398.9781, 320.5077, 654.0357, 632.4726])",Woman
210,210,posts\karen.ellemann\pic_18.jpeg,"tensor([295.2526, 159.8221, 410.7401, 304.7998])",Woman
211,211,posts\annesophie.radikale\pic_13.jpeg,"tensor([504.9359,  52.9447, 644.8672, 309.5539])",Woman
212,212,posts\leawermelin\pic_8.jpeg,"tensor([  5.5210, 205.0546, 187.9366, 489.8578])",Man
213,213,posts\annesophie.radikale\pic_24.jpeg,"tensor([219.7185, 104.9069, 356.6023, 289.3739])",Woman
214,214,posts\peterhummelgaard\pic_0.jpeg,"tensor([178.0644, 268.7047, 248.5837, 370.2203])",Woman
215,215,posts\karen.ellemann\pic_26.jpeg,"tensor([207.5956, 120.7382, 312.2523, 242.3313])",Woman
216,216,posts\karen.ellemann\pic_26.jpeg,"tensor([ 48.4569, 152.6968, 128.4686, 238.6095])",Man
217,217,posts\annepaulin\pic_16.jpeg,"tensor([290.1924, 125.6993, 340.5395, 195.6403])",Man
218,218,posts\annepaulin\pic_16.jpeg,"tensor([536.4587, 155.5061, 581.3086, 210.6160])",Man
219,219,posts\larsbojemathiesen\pic_33.jpeg,"tensor([395.3585, 100.7301, 473.6103, 204.6046])",Man
220,220,posts\larsbojemathiesen\pic_33.jpeg,"tensor([210.2486,  88.2850, 286.3204, 199.5075])",Man
221,221,posts\kaaredybvad\pic_18.jpeg,"tensor([ 58.9933, 130.5596, 274.6622, 431.2128])",Man
222,222,posts\kaaredybvad\pic_18.jpeg,"tensor([343.5931, 254.1720, 536.4627, 503.9224])",Woman
223,223,posts\kaspersandkjaer\pic_23.jpeg,"tensor([201.5109, 129.3078, 478.4924, 529.8118])",Man
224,224,posts\nikolajvillumsen\pic_125.jpeg,"tensor([230.9095, 166.3298, 324.3979, 295.6649])",Man
225,225,posts\nikolajvillumsen\pic_125.jpeg,"tensor([ 80.2263,  30.8572, 142.0336, 107.4571])",Man
226,226,posts\nikolajvillumsen\pic_125.jpeg,"tensor([418.0988, 213.2355, 499.0335, 319.2357])",Woman
227,227,posts\nikolajvillumsen\pic_125.jpeg,"tensor([458.6951,  58.4740, 523.9976, 142.3387])",Man
228,228,posts\mette.thiesen\pic_215.jpeg,"tensor([189.5516, 155.0114, 481.2789, 541.1431])",Woman
229,229,posts\marleneambo\pic_19.jpeg,"tensor([199.1123,   7.1946, 406.2432, 187.6915])",Man
230,230,posts\christoffermelson\pic_41.jpeg,"tensor([194.6936, 274.4950, 244.0119, 334.5991])",Man
231,231,posts\victoria.r.velasquez\pic_93.jpeg,"tensor([242.9365, 154.6612, 355.3641, 307.8037])",Woman
232,232,posts\annepaulin\pic_6.jpeg,"tensor([  6.5668,  51.2282, 168.8620, 318.2607])",Man
